;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.604.122/0001-97;00.604.122/0001-97 - TRIVALE INSTITUICAO DE PAGAMENTO LTDA;67;2439634.4;36412.45373134328
1;01.639.917/0001-01;01.639.917/0001-01 - CASA LIMA LAGOENSE LTDA;21;66519.75;3167.6071428571427
2;01.752.683/0001-04;01.752.683/0001-04 - CALDAS COMERCIO DE PRODUTOS QUIMICOS LTDA;1;930.0;930.0
3;01.864.223/0001-60;01.864.223/0001-60 - CONAST CONSULTORIA E ASSESSORIA DE SEGURANCA DO TRABALHO LTD;2;17770.0;8885.0
4;01.980.067/0001-00;01.980.067/0001-00 - ALUMIBOX VIDROS E ESQUADRIAS DE PATOS LTDA;21;70737.59;3368.4566666666665
5;02.732.609/0001-80;02.732.609/0001-80 - VALDENE DO AMARAL BRAGA CPF 03993048601 EIRELI;31;80176.54000000001;2586.34
6;03.127.257/0001-05;03.127.257/0001-05 - ONNET TELECOMUNICACOES LTDA;3;10419.98;3473.3266666666664
7;03.138.598/0001-78;03.138.598/0001-78 - DELBA VICENTINI CREMASCO;1;30090.0;30090.0
8;03.392.348/0008-36;03.392.348/0008-36 - SERVIOESTE SOLUCOES AMBIENTAIS LTDA;3;29066.32;9688.773333333333
9;03.660.686/0001-35;03.660.686/0001-35 - INDUPLASTIL - INDUSTRIA DE PLASTICOS ITUIUTABA LTDA;7;12669.0;1809.857142857143
10;03.955.611/0001-81;03.955.611/0001-81 - PROL TENDAS LTDA;4;1032387.84;258096.96
11;04.235.413/0001-06;04.235.413/0001-06 - PUBLICENTER INFORMATICA COMERCIO E LOCACAO LTDA;11;331123.94;30102.176363636365
12;04.340.890/0001-31;04.340.890/0001-31 - IRMÃOS CASTRO LTDA - ME;3;91780.0;30593.333333333332
13;04.353.937/0001-00;04.353.937/0001-00 - CASA DAS PECAS SERVICOS LTDA;36;402927.56;11192.432222222222
14;04.664.211/0001-80;04.664.211/0001-80 - UNI AGROMETAL LTDA;57;89890.73;1577.0303508771929
15;04.938.987/0001-40;04.938.987/0001-40 - MARIA EDUARDA DE OLIVEIRA MARTINS LTDA;15;49508.33;3300.5553333333332
16;05.304.734/0001-88;05.304.734/0001-88 - CENTRAL DAS BOMBAS COMERCIO E SERVICOS LTDA;1;81067.5;81067.5
17;05.508.553/0001-73;05.508.553/0001-73 - IKI & NANA UNIFORMES LTDA;1;12178.6;12178.6
18;06.986.492/0001-12;06.986.492/0001-12 - MEGALIMP HIGIENE E LIMPEZA LTDA;4;2752.0;688.0
19;07.324.021/0001-01;07.324.021/0001-01 - ROS RIO MATERIAIS E COMERCIO LTDA;3;458.0;152.66666666666666
20;07.502.005/0001-61;07.502.005/0001-61 - ASSOCIACAO DE ARBITROS DESPORTIVOS DO ALTO PARANAIBA - AADAP;1;7763.02;7763.02
21;08.202.176/0001-38;08.202.176/0001-38 - QUIK DISTRIBUIDORA DE ARMARINHOS LTDA;7;53546.85;7649.55
22;08.420.626/0001-69;08.420.626/0001-69 - UBERCOPIAS E IMPRESSOS LTDA;7;25428.0;3632.5714285714284
23;08.422.075/0001-72;08.422.075/0001-72 - GONCALVES E TEIXEIRA LTDA;18;21849.55;1213.8638888888888
24;08.849.206/0001-00;08.849.206/0001-00 - DENTAL OPEN - COMERCIO DE PRODUTOS ODONTOLOGICOS LTDA.;2;12240.5;6120.25
25;09.436.716/0001-00;09.436.716/0001-00 - PARAFUSO E CIA LF LTDA;18;103455.78;5747.543333333333
26;10.279.430/0001-48;10.279.430/0001-48 - ROSILENE VIEIRA LOPES;2;1739.6999999999998;869.8499999999999
27;10.449.391/0001-80;10.449.391/0001-80 - IMPLEMENTOS BH - MAQUINAS AGRICOLAS LTDA;2;142990.0;71495.0
28;10.742.589/0001-57;10.742.589/0001-57 - LUANDA COMERCIO DE SUPRIMENTOS PARA INFORMATICA LTDA;1;600.0;600.0
29;10.785.849/0001-71;10.785.849/0001-71 - NET-UAI INTERNET PROVIDER LTDA;1;1980.0;1980.0
30;10.820.186/0001-89;10.820.186/0001-89 - NBB COMERCIO DE EQUIPAMENTOS DE INFORMATICA LTDA;1;58.97;58.97
31;10.980.875/0001-50;10.980.875/0001-50 - LUANA PEDRA HUME LTDA;1;58764.0;58764.0
32;11.202.638/0001-21;11.202.638/0001-21 - CASTRO ARANTES QUIMICA INDUSTRIAL LTDA;6;38114.0;6352.333333333333
33;11.466.953/0001-66;11.466.953/0001-66 - EME ENGENHARIA AMBIENTAL LTDA;1;0.0;0.0
34;11.601.765/0001-01;11.601.765/0001-01 - CARLOS HUMBERTO PRIMO;1;10384.0;10384.0
35;12.461.122/0001-64;12.461.122/0001-64 - ARCEPATOS DISTRIBUIDORA LTDA;10;13439.07;1343.907
36;12.811.487/0001-71;12.811.487/0001-71 - MULTISUL COMERCIO E DISTRIBUICAO LTDA;1;0.0;0.0
37;13.609.673/0001-95;13.609.673/0001-95 - CARTUCHO.COM LTDA;2;861.47;430.735
38;13.704.844/0001-65;13.704.844/0001-65 - LIFETEC HOSPITALAR LTDA;8;308900.0;38612.5
39;14.496.887/0001-65;14.496.887/0001-65 - CELSO MACHADO DE LIMA & CIA LTDA;96;154717.92;1611.6450000000002
40;15.153.524/0001-90;15.153.524/0001-90 - SANIGRAN LTDA;1;1469.29;1469.29
41;15.295.825/0001-58;15.295.825/0001-58 - C S N PANIFICACOES LTDA;4;1919.6;479.9
42;15.341.227/0001-78;15.341.227/0001-78 - PREMOLAGO PREMOLDADOS E SERRALHERIA EIRELI;2;14560.0;7280.0
43;15.644.251/0001-86;15.644.251/0001-86 - GMAES TELECOM LTDA;1;6584.58;6584.58
44;16.366.888/0001-10;16.366.888/0001-10 - DIPROM - DISTRIBUIDORA DE PRODUTOS ODONTOLOGICOS E MATERIAIS;2;5486.3;2743.15
45;17.121.657/0001-00;17.121.657/0001-00 - NILSON MOREIRA CARDOSO;9;50875.0;5652.777777777777
46;17.232.708/0001-70;17.232.708/0001-70 - CLERIO VICENTE DE CASTRO;11;448431.6;40766.50909090909
47;18.202.203/0001-26;18.202.203/0001-26 - SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA;3;15400.0;5133.333333333333
48;18.299.027/0001-92;18.299.027/0001-92 - REVESTE MAIS TINTAS E REVESTIMENTOS ACRILICOS LTDA;3;34615.8;11538.6
49;18.370.670/0001-65;18.370.670/0001-65 - AGROCAMPO COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;5;151239.0;30247.8
50;18.606.765/0001-35;18.606.765/0001-35 - TIAGO GONCALVES DA SILVA 08955823681;2;112334.06;56167.03
51;19.050.715/0001-87;19.050.715/0001-87 - COPAVE COMERCIAL PATENSE DE VEICULOS S A;2;122170.8;61085.4
52;19.103.290/0001-27;19.103.290/0001-27 - COMERCIAL MAURISTELA LTDA;7;13100.0;1871.4285714285713
53;19.104.617/0001-85;19.104.617/0001-85 - CARDOSO E AGUIAR COMERCIO E SERVICOS LTDA;14;15026.0;1073.2857142857142
54;19.188.783/0001-07;19.188.783/0001-07 - PROCIR PRODUTOS PARA SAUDE LTDA;1;484.38;484.38
55;19.316.524/0001-14;19.316.524/0001-14 - DELTA SHOP - DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA;1;6315.0;6315.0
56;19.756.617/0001-60;19.756.617/0001-60 - NOROESTE TREINAMENTOS LTDA;3;32824.0;10941.333333333334
57;19.977.585/0001-22;19.977.585/0001-22 - HORIZONTE COMERCIO E DISTRIBUIDORA LTDA;12;42130.32;3510.86
58;20.040.746/0001-36;20.040.746/0001-36 - M3 COMERCIO SOFTWARE EIRELI;3;12000.0;4000.0
