;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.000.000/0001-91;00.000.000/0001-91 - BANCO DO BRASIL SA;1;10865.46;10865.46
1;00.000.000/2337-06;00.000.000/2337-06 - BANCO DO BRASIL SA;14;57650.0;4117.857142857143
2;00.099.702/0001-74;00.099.702/0001-74 - SANTA CRUZ ESPORTE CLUBE;1;140000.0;140000.0
3;00.207.500/0001-07;00.207.500/0001-07 - MULTIMEDIC COMERCIAL LTDA;1;95.47;95.47
4;00.216.639/0001-09;00.216.639/0001-09 - CONSELHO CENTRAL DE LAG FORMOSA DA SOC DE S V DE PAULO;1;25000.0;25000.0
5;00.331.788/0093-37;00.331.788/0093-37 - AIR LIQUIDE BRASIL LTDA;1;655.5;655.5
6;00.360.305/3540-03;00.360.305/3540-03 - CAIXA ECONOMICA FEDERAL;5;1469600.0;293920.0
7;00.378.257/0001-81;00.378.257/0001-81 - FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;1;129.9;129.9
8;00.394.460/0001-41;00.394.460/0001-41 - MINISTERIO DA FAZENDA;6;1214500.0;202416.66666666666
9;00.394.460/0105-38;00.394.460/0105-38 - MINISTERIO DA FAZENDA;1;3184.0;3184.0
10;00.394.460/0409-50;00.394.460/0409-50 - MINISTERIO DA FAZENDA;1;30.48;30.48
11;00.498.393/0001-05;00.498.393/0001-05 - N N L ACESSORIOS DE MODA LTDA;1;1317.0;1317.0
12;00.604.122/0001-97;00.604.122/0001-97 - TRIVALE INSTITUICAO DE PAGAMENTO LTDA;140;4188336.8;29916.691428571427
13;00.662.270/0003-20;00.662.270/0003-20 - INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA;2;180.18;90.09
14;00.703.157/0001-83;00.703.157/0001-83 - CONFEDERACAO NACIONAL DE MUNICIPIOS;2;16308.0;8154.0
