;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.207.500/0001-07;00.207.500/0001-07 - MULTIMEDIC COMERCIAL LTDA;1;95.47;95.47
1;00.498.393/0001-05;00.498.393/0001-05 - N N L ACESSORIOS DE MODA LTDA;1;1317.0;1317.0
2;02.537.890/0001-09;02.537.890/0001-09 - COFARMINAS COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;71;343079.13;4832.100422535212
3;07.681.483/0001-86;07.681.483/0001-86 - CSC CONSTRUTORA SIQUEIRA CARDOSO LTDA;1;189566.3;189566.3
4;08.245.855/0001-94;08.245.855/0001-94 - MHEDICA SERVICE COMERCIO E MANUTENCAO LTDA;2;474853.9;237426.95
5;08.648.188/0001-90;08.648.188/0001-90 - COMERCIAL SOARES & MOTA LTDA;6;855493.6799999999;142582.28
6;11.432.336/0001-40;11.432.336/0001-40 - PLANET BRINQUEDOS E EQUIPAMENTOS LTDA;2;178000.0;89000.0
7;11.448.734/0001-54;11.448.734/0001-54 - TITONELI VEICULOS LTDA;1;95870.0;95870.0
8;12.200.949/0001-14;12.200.949/0001-14 - CONSTRUTORA CRETA LTDA;5;419499.0;83899.8
9;18.209.965/0001-54;18.209.965/0001-54 - BAMAQ SA BANDEIRANTES MAQUINAS E EQUIPAMENTOS;4;1750000.0;437500.0
10;18.707.422/0001-67;18.707.422/0001-67 - MARKA VEICULOS E PECAS S/A;1;152604.61;152604.61
11;19.589.446/0001-21;19.589.446/0001-21 - IC CONSTRUCOES LTDA;2;245000.0;122500.0
12;19.810.139/0001-29;19.810.139/0001-29 - FIND SOLUCOES CORPORATIVAS LTDA;1;159490.0;159490.0
13;20.495.149/0001-04;20.495.149/0001-04 - PRODOESTE VEICULOS E SERVICOS LTDA.;1;1032000.0;1032000.0
14;24.687.735/0001-01;24.687.735/0001-01 - ZENITE COMERCIAL LTDA;1;900.0;900.0
15;27.276.516/0001-10;27.276.516/0001-10 - SINUSAL TELEMEDICINA E TELECONSULTORIA LTDA;1;3561.6;3561.6
16;27.343.602/0001-06;27.343.602/0001-06 - JLM DISTRIBUIDORA LTDA;83;492896.56;5938.512771084337
17;28.104.324/0001-99;28.104.324/0001-99 - GOVERNA LOCACAO DE EQUIPAMENTOS LTDA;1;24000.0;24000.0
18;28.182.842/0001-20;28.182.842/0001-20 - SINERGIA CONSTRUCOES E SERVICOS LTDA;1;337029.42;337029.42
19;30.904.666/0001-35;30.904.666/0001-35 - IRMÃOS LEAL LTDA;3;2827518.98;942506.3266666667
20;31.534.481/0001-49;31.534.481/0001-49 - DMX CONSTRUTORA LTDA;1;150434.38;150434.38
21;31.564.854/0001-24;31.564.854/0001-24 - BARROS BITTENCOURT EMPREENDIMENTOS LTDA;3;672416.81;224138.93666666668
22;35.820.448/0039-09;35.820.448/0039-09 - WHITE MARTINS GASES INDUSTRIAIS LTDA;2;138685.0;69342.5
23;36.441.367/0001-98;36.441.367/0001-98 - BRASIL SISTEMAS DE IRRIGACAO LTDA;2;1119910.4000000001;559955.2000000001
24;36.519.422/0001-15;36.519.422/0001-15 - IVG BRASIL LTDA;2;425911.33;212955.665
25;37.115.386/0001-97;37.115.386/0001-97 - INOVATTO VEICULOS LTDA;2;390000.0;195000.0
26;41.647.573/0001-99;41.647.573/0001-99 - TWD MEDICAL SERVICOS LTDA;1;12488.4;12488.4
27;41.804.972/0001-16;41.804.972/0001-16 - ESTRELA INFRAESTRUTURA LTDA;11;1275432.55;115948.41363636364
28;58.765.859/0001-71;58.765.859/0001-71 - RR JUNIOR ENGENHARIA LTDA;4;489866.19000000006;122466.54750000002
