;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;01.105.481/0001-62;01.105.481/0001-62 - PEG INFORMATICA LTDA;6;12226.75;2037.7916666666667
1;01.639.917/0001-01;01.639.917/0001-01 - CASA LIMA LAGOENSE LTDA;27;59692.1;2210.8185185185184
2;01.763.210/0001-02;01.763.210/0001-02 - REJANE COMERCIO DE PRODUTOS PEDAGOGICOS LTDA;2;302.0;151.0
3;01.980.067/0001-00;01.980.067/0001-00 - ALUMIBOX VIDROS E ESQUADRIAS DE PATOS LTDA;11;21476.11;1952.3736363636365
4;03.127.257/0001-05;03.127.257/0001-05 - ONNET TELECOMUNICACOES LTDA;6;34320.0;5720.0
5;03.392.348/0008-36;03.392.348/0008-36 - SERVIOESTE SOLUCOES AMBIENTAIS LTDA;1;13420.0;13420.0
6;03.716.848/0001-00;03.716.848/0001-00 - BRASIL MEDSUL COMERCIO, IMPORTACAO E EXPORTACAO LTDA;1;4295.7;4295.7
7;04.235.413/0001-06;04.235.413/0001-06 - PUBLICENTER INFORMATICA COMERCIO E LOCACAO LTDA;7;296649.83999999997;42378.54857142857
8;04.664.211/0001-80;04.664.211/0001-80 - UNI AGROMETAL LTDA;31;23880.98;770.3541935483871
9;04.938.987/0001-40;04.938.987/0001-40 - MARIA EDUARDA DE OLIVEIRA MARTINS LTDA;20;57476.86;2873.843
10;05.266.324/0003-51;05.266.324/0003-51 - SERQUIP - TRATAMENTO DE RESIDUOS MG LTDA;1;33000.0;33000.0
11;07.324.021/0001-01;07.324.021/0001-01 - ROS RIO MATERIAIS E COMERCIO LTDA;1;141.0;141.0
12;07.912.053/0001-28;07.912.053/0001-28 - NATALIA BANHOS;1;594.66;594.66
13;08.088.996/0001-40;08.088.996/0001-40 - CIRURGICA ALIANCA PRODUTOS HOSPITALARES LTDA;1;696.0;696.0
14;08.422.075/0001-72;08.422.075/0001-72 - GONCALVES E TEIXEIRA LTDA;4;6435.4;1608.85
15;09.436.716/0001-00;09.436.716/0001-00 - PARAFUSO E CIA LF LTDA;37;14764.15;399.0310810810811
16;10.742.589/0001-57;10.742.589/0001-57 - LUANDA COMERCIO DE SUPRIMENTOS PARA INFORMATICA LTDA;2;763.0;381.5
17;10.785.849/0001-71;10.785.849/0001-71 - NET-UAI INTERNET PROVIDER LTDA;2;2160.0;1080.0
18;10.820.186/0001-89;10.820.186/0001-89 - NBB COMERCIO DE EQUIPAMENTOS DE INFORMATICA LTDA;2;1480.0;740.0
19;10.891.103/0001-42;10.891.103/0001-42 - GINC ARTES LTDA;4;29355.199999999997;7338.799999999999
20;11.202.638/0001-21;11.202.638/0001-21 - CASTRO ARANTES QUIMICA INDUSTRIAL LTDA;10;67463.0;6746.3
21;11.262.969/0001-57;11.262.969/0001-57 - SUPRAMIL COMERCIAL LTDA;1;13883.9;13883.9
22;12.250.390/0001-37;12.250.390/0001-37 - GALPAO DA CONSTRUCAO LTDA;1;161.35;161.35
23;12.811.487/0001-71;12.811.487/0001-71 - MULTISUL COMERCIO E DISTRIBUICAO LTDA;5;2894.4399999999996;578.8879999999999
24;13.609.673/0001-95;13.609.673/0001-95 - CARTUCHO.COM LTDA;3;1236.0;412.0
25;13.660.382/0001-21;13.660.382/0001-21 - ADRIANO FERREIRA DA SILVA - CPF 07527343699;1;6900.0;6900.0
26;13.704.844/0001-65;13.704.844/0001-65 - LIFETEC HOSPITALAR LTDA;1;187200.0;187200.0
27;15.341.227/0001-78;15.341.227/0001-78 - PREMOLAGO PREMOLDADOS E SERRALHERIA EIRELI;8;9509.11;1188.63875
28;17.121.657/0001-00;17.121.657/0001-00 - NILSON MOREIRA CARDOSO;1;91160.0;91160.0
29;17.232.708/0001-70;17.232.708/0001-70 - CLERIO VICENTE DE CASTRO;3;412750.0;137583.33333333334
30;17.772.398/0001-87;17.772.398/0001-87 - MS SEGURANCA ELETRONICA LTDA;13;26334.0;2025.6923076923076
31;18.202.203/0001-26;18.202.203/0001-26 - SUARES DISTRIBUIDORA DE PRODUTOS DE LIMPEZA LTDA;2;15254.0;7627.0
32;18.905.288/0001-09;18.905.288/0001-09 - AQUARELA COMERCIO E SERVICOS - EIRELI;2;1055.9;527.95
33;19.977.585/0001-22;19.977.585/0001-22 - HORIZONTE COMERCIO E DISTRIBUIDORA LTDA;1;21700.0;21700.0
34;20.918.668/0001-20;20.918.668/0001-20 - MEDICINALI PRODUTOS PARA SAUDE LTDA;1;2264.4;2264.4
35;21.189.554/0001-59;21.189.554/0001-59 - TS FARMA DISTRIBUIDORA LTDA;2;6500.7;3250.35
36;21.856.981/0001-43;21.856.981/0001-43 - WTRADE INTERMEDIACAO DE NEGOCIOS LTDA;5;1044.44;208.888
37;21dae3b3b55f04a8dde765e5f4e5061a2287b38d4031c451d348042610e05a65;***.774.416-** - KARLA CRISTINA DE SOUSA;5;63009.29;12601.858
38;22.613.208/0001-19;22.613.208/0001-19 - DEDETIZADORA ITABIRITO LTDA;24;27619.55;1150.8145833333333
39;22.665.775/0001-19;22.665.775/0001-19 - ROKA ASSISTANCE COMERCIO E SERVICOS LTDA;1;12360.0;12360.0
40;23.317.916/0001-75;23.317.916/0001-75 - MUNDO OFFICE LTDA;7;45000.0;6428.571428571428
41;24.005.316/0001-34;24.005.316/0001-34 - PAPELARIA PAPEL CARTAZ LTDA;2;2062.4;1031.2
42;24.675.507/0001-03;24.675.507/0001-03 - MICROFORT INFORMATICA LTDA;3;12495.0;4165.0
43;26.110.916/0001-98;26.110.916/0001-98 - CASA DO ESTUDANTE PAPELARIA E LIVRARIA LTDA;11;19746.52;1795.138181818182
44;26.240.632/0001-16;26.240.632/0001-16 - DENTAL HIGIX PRODUTOS ODONTOLOGICOS MEDICOS HOSPITALARES LTD;1;960.0;960.0
45;26.354.399/0001-00;26.354.399/0001-00 - MADEIREIRA PAIXAO LTDA;6;2484.2200000000003;414.0366666666667
46;26.395.502/0001-52;26.395.502/0001-52 - DENTAL UNIVERSO LTDA;2;5623.139999999999;2811.5699999999997
47;26.760.171/0001-02;26.760.171/0001-02 - DRM - DISTRIBUIDORA REGIONAL DE MEDICAMENTOS LTDA;4;10498.5;2624.625
48;27.340.141/0001-00;27.340.141/0001-00 - WILLIAN EUSTAQUIO DOS SANTOS 05192703638;1;12131.84;12131.84
49;27.409.741/0001-87;27.409.741/0001-87 - KAMILA MARQUES FARIA 08953897629 LIMITADA;1;5100.0;5100.0
50;27.585.782/0001-24;27.585.782/0001-24 - ARAUJO & AMORIM PET SHOP LTDA;1;3696.0;3696.0
51;27.764.858/0001-89;27.764.858/0001-89 - MF ESTRUTURAS METALICAS LTDA;1;8330.52;8330.52
52;28.104.324/0001-99;28.104.324/0001-99 - GOVERNA LOCACAO DE EQUIPAMENTOS LTDA;16;136408.8;8525.55
53;28.584.157/0003-92;28.584.157/0003-92 - METDATA TECNOLOGIA DA INFORMACAO LTDA;2;9350.0;4675.0
54;28.675.331/0001-40;28.675.331/0001-40 - DIABETICOS LTDA;3;4832.4400000000005;1610.8133333333335
55;28.820.255/0001-10;28.820.255/0001-10 - SUPREMA DENTAL IMPORTACAO, EXPORTACAO E COMERCIO DE PRODUTOS;3;7003.38;2334.46
56;28.915.430/0001-52;28.915.430/0001-52 - HIGOR SILVA CANEDO;6;11312.71;1885.4516666666666
57;30.121.855/0001-31;30.121.855/0001-31 - DIAS MELLO LTDA;6;7016.5;1169.4166666666667
58;30.450.537/0001-14;30.450.537/0001-14 - ADVICE MEDICINA E ENGENHARIA DO TRABALHO LTDA;3;59664.68000000001;19888.22666666667
59;31.309.680/0001-53;31.309.680/0001-53 - LIMP MAIS QUIMICOS E DESCARTAVEIS LTDA;13;23346.16;1795.8584615384616
60;33.508.122/0001-42;33.508.122/0001-42 - MYSEG MONITORAMENTO LTDA;1;3121.5;3121.5
61;33.742.700/0001-00;33.742.700/0001-00 - ABB IMPORTACAO, COMERCIO E INTERMEDIACAO LTDA;2;3010.0;1505.0
62;34.346.501/0001-46;34.346.501/0001-46 - ANVAX COMPANY LTDA;1;624.0;624.0
63;34.479.102/0001-53;34.479.102/0001-53 - NK MATERIAIS HOSPITALARES LTDA;3;50526.46;16842.153333333332
64;35.198.153/0001-70;35.198.153/0001-70 - ATACADO E VAREJO MARIOLA LTDA;4;67853.75;16963.4375
65;35.231.746/0001-90;35.231.746/0001-90 - GADITA COMERCIO DE PRODUTOS PERMANENTES E DE CONSUMOS LTDA;4;16460.0;4115.0
66;35.688.028/0001-48;35.688.028/0001-48 - MEDIMAGEM DIAGNOSTICOS LTDA;1;3900.0;3900.0
67;35.706.397/0001-16;35.706.397/0001-16 - E.C.S. TECNOLOGIA EM SAUDE, COMERCIO, IMPORTACAO E EXPORTACA;2;2322.44;1161.22
68;35.886.714/0001-23;35.886.714/0001-23 - APOIO PRODUTOS MEDICOS E HOSPITALARES LTDA;1;255.0;255.0
69;37.054.879/0001-64;37.054.879/0001-64 - FAROVET PRODUTOS VETERINARIOS LTDA;1;4390.1;4390.1
70;37.165.739/0001-63;37.165.739/0001-63 - E TUDO BARATO COMERCIO DE ELETROELETRONICOS LTDA;1;1725.0;1725.0
71;37.165.739/0002-44;37.165.739/0002-44 - E TUDO BARATO COMERCIO DE ELETROELETRONICOS LTDA;1;1500.0;1500.0
72;38.085.093/0001-77;38.085.093/0001-77 - ERICA MARIA GERALDO FURLAN;1;1780.0;1780.0
73;38.288.971/0001-51;38.288.971/0001-51 - T PA AZEREDO INDUSTRIA E COMERCIO DE ROUPAS;6;4894.45;815.7416666666667
74;38.928.121/0001-70;38.928.121/0001-70 - RC SEGURANCA E MEDICINA DO TRABALHO LTDA;1;9900.0;9900.0
75;39.935.073/0001-00;39.935.073/0001-00 - MG2 NUTRICAO LTDA;2;31596.0;15798.0
76;40.064.261/0001-90;40.064.261/0001-90 - TOPDESC INDUSTRIA E COMERCIO DE ACESSORIOS PARA SEGURANCA LT;1;1512.0;1512.0
77;40.603.653/0001-80;40.603.653/0001-80 - JG FROM HOME SERVICOS ESPECIALIZADOS LTDA;1;10063.26;10063.26
78;41.132.034/0001-17;41.132.034/0001-17 - M&A COMERCIO DE PRODUTOS AGRICOLAS LTDA;1;18600.0;18600.0
