;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.207.500/0001-07;00.207.500/0001-07 - MULTIMEDIC COMERCIAL LTDA;149;2884878.53;19361.60087248322
1;00.503.644/0001-00;00.503.644/0001-00 - BRASFERMA LTDA;1;5287.0;5287.0
2;00.604.122/0001-97;00.604.122/0001-97 - TRIVALE INSTITUICAO DE PAGAMENTO LTDA;71;2481946.73;34956.9961971831
3;00.660.664/0001-87;00.660.664/0001-87 - H M LINCK;1;13800.0;13800.0
4;00.982.872/0006-07;00.982.872/0006-07 - AUTUS COMERCIAL DISTRIBUIDORA LTDA;2;122700.0;61350.0
5;01.639.917/0001-01;01.639.917/0001-01 - CASA LIMA LAGOENSE LTDA;12;7980.59;665.0491666666667
6;02.659.246/0001-03;02.659.246/0001-03 - VMI TECNOLOGIAS LTDA.;1;525746.66;525746.66
7;02.732.609/0001-80;02.732.609/0001-80 - VALDENE DO AMARAL BRAGA CPF 03993048601 EIRELI;15;26396.1;1759.74
8;03.127.257/0001-05;03.127.257/0001-05 - ONNET TELECOMUNICACOES LTDA;20;148980.8;7449.039999999999
9;03.284.595/0001-42;03.284.595/0001-42 - GRUPO NILDO SANEAMENTO E CONSTRUCAO LTDA;16;16575.0;1035.9375
10;03.392.348/0008-36;03.392.348/0008-36 - SERVIOESTE SOLUCOES AMBIENTAIS LTDA;6;22998.05;3833.008333333333
11;03.541.496/0001-07;03.541.496/0001-07 - CESAR & ROCHA COMERCIO DE PRODUTOS AGROPECUARIOS LTDA;1;2915.0;2915.0
12;03.606.427/0001-26;03.606.427/0001-26 - FUJITECH EQUIPAMENTOS MEDICOS LTDA;1;364000.0;364000.0
13;03.660.686/0001-35;03.660.686/0001-35 - INDUPLASTIL - INDUSTRIA DE PLASTICOS ITUIUTABA LTDA;10;5845.8;584.58
14;03.716.848/0001-00;03.716.848/0001-00 - BRASIL MEDSUL COMERCIO, IMPORTACAO E EXPORTACAO LTDA;1;2499.72;2499.72
15;03.945.035/0001-91;03.945.035/0001-91 - ACACIA COMERCIO DE MEDICAMENTOS LTDA;1;331.8;331.8
16;04.027.894/0007-50;04.027.894/0007-50 - DUPATRI HOSPITALAR COMERCIO, IMPORTACAO E EXPORTACAO LTDA.;1;1170.4;1170.4
17;04.353.937/0001-00;04.353.937/0001-00 - CASA DAS PECAS SERVICOS LTDA;27;49470.0;1832.2222222222222
18;04.463.726/0001-11;04.463.726/0001-11 - VAZLIMP IND E COM DE PRODUTOS DE LIMPEZA LTDA;7;448.03000000000003;64.00428571428571
19;04.938.987/0001-40;04.938.987/0001-40 - MARIA EDUARDA DE OLIVEIRA MARTINS LTDA;33;69460.61;2104.8669696969696
20;05.258.798/0001-90;05.258.798/0001-90 - HGC TAVEIRA COMERCIO DE MOVEIS - EIRELI;3;8216.369999999999;2738.7899999999995
21;05.340.639/0001-30;05.340.639/0001-30 - PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;3;49030.7;16343.566666666666
22;05.412.147/0001-02;05.412.147/0001-02 - DENTAL OESTE EIRELI;4;2849.5;712.375
23;05.593.067/0001-09;05.593.067/0001-09 - UBER MEDICA E HOSPITALAR LTDA;1;3587.4;3587.4
24;05.700.700/0001-02;05.700.700/0001-02 - PARANA INDUSTRIA E COMERCIO DE REDES E CORDAS - EIRELI;1;582.0;582.0
25;05.906.836/0001-73;05.906.836/0001-73 - VANDERLEI ALVES DE ARAUJO CPF 569.891.216-53;99;537766.64;5431.986262626263
26;06.088.333/0001-09;06.088.333/0001-09 - LAZARO BEZERRA SOARES;5;1082.6;216.51999999999998
27;07.245.458/0001-50;07.245.458/0001-50 - DAGEAL - COMERCIO DE MATERIAL DE ESCRITORIO LTDA;6;1744.6;290.76666666666665
28;07.583.394/0001-05;07.583.394/0001-05 - FRUTARIA NIPOLAGO LTDA;5;1900.0;380.0
29;07.677.098/0001-65;07.677.098/0001-65 - SCAPOLE MALHAS LTDA;1;6618.38;6618.38
