;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.604.122/0001-97;00.604.122/0001-97 - TRIVALE INSTITUICAO DE PAGAMENTO LTDA;140;4188336.8;29916.691428571427
1;02.537.890/0001-09;02.537.890/0001-09 - COFARMINAS COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;2;22707.539999999997;11353.769999999999
2;19.280.448/0001-34;19.280.448/0001-34 - LUZ FORTE ILUMINACAO E SERVICOS LTDA;1;13686.75;13686.75
3;27.343.602/0001-06;27.343.602/0001-06 - JLM DISTRIBUIDORA LTDA;1;925.47;925.47
4;41.532.626/0001-26;41.532.626/0001-26 - MACHADO & ARAUJO EMPREENDIMENTOS IMOBILIARIOS LTDA;6;10471.779999999999;1745.2966666666664
