;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.874.929/0001-40;00.874.929/0001-40 - MED CENTER COMERCIAL LTDA;10;13653.67;1365.367
1;01.639.917/0001-01;01.639.917/0001-01 - CASA LIMA LAGOENSE LTDA;15;6236.73;415.782
2;02.814.497/0007-00;02.814.497/0007-00 - CIMED INDUSTRIA S.A.;6;24421.879999999997;4070.313333333333
3;03.535.357/0001-62;03.535.357/0001-62 - ADILSON PEREIRA MACHADO CPF 627 105 756 04;102;150141.8;1471.9784313725488
4;03.945.035/0001-91;03.945.035/0001-91 - ACACIA COMERCIO DE MEDICAMENTOS LTDA;10;14027.859999999999;1402.7859999999998
5;04.235.413/0001-06;04.235.413/0001-06 - PUBLICENTER INFORMATICA COMERCIO E LOCACAO LTDA;9;150500.0;16722.222222222223
6;04.276.380/0001-42;04.276.380/0001-42 - ITMS DO BRASIL TELEMEDICINA EIRELI;1;10686.0;10686.0
7;04.353.937/0001-00;04.353.937/0001-00 - CASA DAS PECAS SERVICOS LTDA;4;15130.0;3782.5
8;04.664.211/0001-80;04.664.211/0001-80 - UNI AGROMETAL LTDA;44;78323.77;1780.085681818182
9;04.818.899/0001-05;04.818.899/0001-05 - ACCESS SERVICOS EM VAF LTDA;1;5140.0;5140.0
10;05.194.502/0001-14;05.194.502/0001-14 - ALFALAGOS LTDA.;5;1720.35;344.07
11;05.343.029/0001-90;05.343.029/0001-90 - MEDLEVENSOHN COMERCIO E REPRESENTACOES DE PRODUTOS HOSPITALA;3;5700.0;1900.0
12;05.593.067/0001-09;05.593.067/0001-09 - UBER MEDICA E HOSPITALAR LTDA;2;6481.92;3240.96
13;05.610.641/0001-81;05.610.641/0001-81 - WENDERSON APARECIDO DOS REIS FERREIRA;109;31892.0;292.58715596330273
14;08.422.075/0001-72;08.422.075/0001-72 - GONCALVES E TEIXEIRA LTDA;3;13715.650000000001;4571.883333333334
15;08.703.825/0001-84;08.703.825/0001-84 - TELEPACS DIAGNOSTICO POR IMAGEM LTDA;1;12375.0;12375.0
16;09.053.134/0001-45;09.053.134/0001-45 - ELFA MEDICAMENTOS S.A.;3;3167.2200000000003;1055.74
17;09.590.203/0001-50;09.590.203/0001-50 - PLANTIUN DISTRIBUIDORA LTDA;1;5300.0;5300.0
18;10.264.375/0001-12;10.264.375/0001-12 - CONDOR SISTEMAS ELETRONICOS LTDA;46;36150.0;785.8695652173913
19;10.891.103/0001-42;10.891.103/0001-42 - GINC ARTES LTDA;23;14990.2;651.7478260869566
20;11.202.638/0001-21;11.202.638/0001-21 - CASTRO ARANTES QUIMICA INDUSTRIAL LTDA;1;16625.0;16625.0
21;12.927.876/0001-67;12.927.876/0001-67 - SOMA/MG PRODUTOS HOSPITALARES LTDA;11;13132.01;1193.8190909090908
