;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;02.850.182/0001-15;02.850.182/0001-15 - ELETROCEL LTDA;14;2570159.9299999997;183582.85214285713
1;03.691.134/0001-94;03.691.134/0001-94 - PAESAN - PAVIMENTACAO ENGENHARIA E SANEAMENTO LTDA;9;1691165.52;187907.28
2;09.290.603/0001-40;09.290.603/0001-40 - INTERMAPAS GEOTECNOLOGIAS LTDA;1;206173.92;206173.92
3;21.055.961/0001-73;21.055.961/0001-73 - CONCRETTA PLANEJAMENTO E EXECUCAO DE OBRAS CIVIS LTDA;5;370309.8;74061.95999999999
4;41.804.972/0001-16;41.804.972/0001-16 - ESTRELA INFRAESTRUTURA LTDA;15;1210279.33;80685.28866666667
