;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.000.000/2337-06;00.000.000/2337-06 - BANCO DO BRASIL SA;19;54951.92;2892.2063157894736
1;00.211.335/0001-59;00.211.335/0001-59 - CONSELHO DE DESENVOLVIMENTO COMUNITARIO DE ABELHA;1;10000.0;10000.0
2;00.216.639/0001-09;00.216.639/0001-09 - CONSELHO CENTRAL DE LAG FORMOSA DA SOC DE S V DE PAULO;1;104278.4;104278.4
3;00.331.788/0093-37;00.331.788/0093-37 - AIR LIQUIDE BRASIL LTDA;4;53811.0;13452.75
4;00.360.305/0001-04;00.360.305/0001-04 - CAIXA ECONOMICA FEDERAL;2;13000.0;6500.0
5;00.360.305/3540-03;00.360.305/3540-03 - CAIXA ECONOMICA FEDERAL;9;1415290.23;157254.47
6;00.394.460/0001-41;00.394.460/0001-41 - MINISTERIO DA FAZENDA;11;1249898.0899999999;113627.09909090908
7;00.394.460/0058-87;00.394.460/0058-87 - MINISTERIO DA FAZENDA;1;1684.21;1684.21
8;00.394.460/0105-38;00.394.460/0105-38 - MINISTERIO DA FAZENDA;1;3247.22;3247.22
9;00.394.494/0110-90;00.394.494/0110-90 - MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;1;130.16;130.16
10;00.396.895/0001-25;00.396.895/0001-25 - MINISTERIO DA AGRICULTURA E PECUARIA;2;15794.72;7897.36
11;00.607.458/0001-03;00.607.458/0001-03 - FERREIRA LEITE & CIA LTDA;3;238.0;79.33333333333333
12;00.662.270/0003-20;00.662.270/0003-20 - INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA;34;3063.06;90.09
13;00.703.157/0001-83;00.703.157/0001-83 - CONFEDERACAO NACIONAL DE MUNICIPIOS;2;16265.0;8132.5
14;00.957.404/0001-78;00.957.404/0001-78 - SECRETARIA DE ESTADO DE MEIO AMBIENTE E DES. SUSTENTAVEL;1;3180.72;3180.72
15;00.982.872/0006-07;00.982.872/0006-07 - AUTUS COMERCIAL DISTRIBUIDORA LTDA;3;4143.98;1381.3266666666666
16;01.134.726/0001-80;01.134.726/0001-80 - SETTA FIOS E CABOS LTDA;4;3026.1899999999996;756.5474999999999
17;01.186.098/0001-86;01.186.098/0001-86 - METALCOURO INDUSTRIA E COMERCIO LTDA;1;5800.0;5800.0
18;01.389.400/0001-01;01.389.400/0001-01 - AMARILDO BRAGA LOZANO;1;1380.0;1380.0
19;01.639.917/0001-01;01.639.917/0001-01 - CASA LIMA LAGOENSE LTDA;1;1475.0;1475.0
20;013c4c6b8858341297b7feae6804a66680bbd67615db56edd898e82610da7508;***.757.996-** - SANDRA DE OLIVEIRA BRAGA;1;681.34;681.34
21;01b49f16b479af451e0b999013cacbc4185a1a118777fcbb01d2a7b5ac38a0a8;***.771.066-** - TATIANE TAVARES DE ARUAJO;1;253.6;253.6
22;02.229.990/0001-60;02.229.990/0001-60 - AGRICOLA GONTIJO LTDA;3;5004.8;1668.2666666666667
23;02.319.394/0001-70;02.319.394/0001-70 - CISALP CONSORCIO PUBLICO INTERMUNICIPAL DE SAUDE A MICRO REG;67;9121113.23;136136.01835820897
24;02.484.057/0001-39;02.484.057/0001-39 - CRISTALINA GERADORES LTDA;1;33000.0;33000.0
25;02.559.007/0001-73;02.559.007/0001-73 - MARIA DE FÁTIMA ALVES EIRELI EPP;58;171.54999999999998;2.957758620689655
26;02.593.711/0001-42;02.593.711/0001-42 - VIZU EDITORA E DISTRIBUIDORA DE LIVROS LTDA;3;47944.0;15981.333333333334
27;02.814.497/0012-60;02.814.497/0012-60 - CIMED INDUSTRIA S A;1;2809.42;2809.42
28;02.818.844/0001-70;02.818.844/0001-70 - CONSELHO DE DESEMVOLVIMENTO COMUNITARIO DE TAMBORIL;1;10000.0;10000.0
29;02.885.641/0001-04;02.885.641/0001-04 - CONSELHO DE DESENVOLVIMENTO COMUNITARIO DE CAPOEIRA GRANDE;1;10000.0;10000.0
30;02.935.957/0001-55;02.935.957/0001-55 - CONSELHO DE DESENVOLVIMENTO COMUNITARIO DE SUMARE;1;10000.0;10000.0
31;03.133.408/0001-20;03.133.408/0001-20 - FUNDO ESTADUAL DE SAÚDE;2;124.58;62.29
32;03.155.056/0001-03;03.155.056/0001-03 - LFA E CIA LTDA;2;108.0;54.0
33;03.392.348/0008-36;03.392.348/0008-36 - SERVIOESTE SOLUCOES AMBIENTAIS LTDA;1;1.05;1.05
34;03.574.171/0001-12;03.574.171/0001-12 - MANG PATOS LTDA;3;4954.1;1651.3666666666668
35;03.793.461/0001-57;03.793.461/0001-57 - REAL CARIMBOS LTDA;28;7048.3;251.725
