;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.000.000/0001-91;00.000.000/0001-91 - BANCO DO BRASIL SA;2;7463.26;3731.63
1;00.000.000/2337-06;00.000.000/2337-06 - BANCO DO BRASIL SA;18;51268.04;2848.2244444444445
2;00.099.702/0001-74;00.099.702/0001-74 - SANTA CRUZ ESPORTE CLUBE;2;140000.0;70000.0
3;00.207.500/0001-07;00.207.500/0001-07 - MULTIMEDIC COMERCIAL LTDA;34;699041.51;20560.044411764706
4;00.211.335/0001-59;00.211.335/0001-59 - CONSELHO DE DESENVOLVIMENTO COMUNITARIO DE ABELHA;1;10000.0;10000.0
5;00.216.639/0001-09;00.216.639/0001-09 - CONSELHO CENTRAL DE LAG FORMOSA DA SOC DE S V DE PAULO;1;25000.0;25000.0
6;00.360.305/0142-45;00.360.305/0142-45 - CAIXA ECONOMICA FEDERAL;3;7868.4;2622.7999999999997
7;00.360.305/3540-03;00.360.305/3540-03 - CAIXA ECONOMICA FEDERAL;8;1406114.01;175764.25125
8;00.394.460/0001-41;00.394.460/0001-41 - MINISTERIO DA FAZENDA;11;1158699.2;105336.29090909091
9;00.394.494/0104-41;00.394.494/0104-41 - MINISTERIO DA JUSTICA E SEGURANCA PUBLICA;4;1557.24;389.31
10;00.474.973/0001-62;00.474.973/0001-62 - ESCRITORIO CENTRAL DE ARRECADACAO E DISTRIBUICAO ECAD;2;25349.48;12674.74
11;00.604.122/0001-97;00.604.122/0001-97 - TRIVALE INSTITUICAO DE PAGAMENTO LTDA;69;2459469.0;35644.47826086957
12;00.703.157/0001-83;00.703.157/0001-83 - CONFEDERACAO NACIONAL DE MUNICIPIOS;2;14993.0;7496.5
13;00.982.872/0006-07;00.982.872/0006-07 - AUTUS COMERCIAL DISTRIBUIDORA LTDA;4;3262.44;815.61
14;00072fdae364dffd1da11edded439614bf253fbb157a15cef2b25b4da5f5be96;***.672.626-** - GABRIEL HENRIQUE AMARAL DE ANDRADE;9;20027.52;2225.28
