;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.000.000/0001-91;00.000.000/0001-91 - BANCO DO BRASIL SA;1;0.0;0.0
1;00.000.000/2337-06;00.000.000/2337-06 - BANCO DO BRASIL SA;12;44759.0;3729.9166666666665
2;00.099.702/0001-74;00.099.702/0001-74 - SANTA CRUZ ESPORTE CLUBE;1;16000.0;16000.0
3;00.207.500/0001-07;00.207.500/0001-07 - MULTIMEDIC COMERCIAL LTDA;60;864471.6799999999;14407.861333333332
4;00.211.335/0001-59;00.211.335/0001-59 - CONSELHO DE DESENVOLVIMENTO COMUNITARIO DE ABELHA;1;2500.0;2500.0
5;00.265.856/0001-99;00.265.856/0001-99 - NENÉM COBRANÇAS LTDA -ME;3;2619.0;873.0
6;00.360.305/0001-04;00.360.305/0001-04 - CAIXA ECONOMICA FEDERAL;1;2.75;2.75
7;00.360.305/0142-45;00.360.305/0142-45 - CAIXA ECONOMICA FEDERAL;2;7500.0;3750.0
8;00.360.305/2497-14;00.360.305/2497-14 - CAIXA ECONOMICA FEDERAL CEF;2;268548.69;134274.345
9;00.360.305/3540-03;00.360.305/3540-03 - CAIXA ECONOMICA FEDERAL;4;799900.0;199975.0
10;00.378.257/0001-81;00.378.257/0001-81 - FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCACAO;1;2145.71;2145.71
11;00.394.460/0001-41;00.394.460/0001-41 - MINISTERIO DA FAZENDA;4;720010.0;180002.5
12;00.394.460/0058-87;00.394.460/0058-87 - MINISTERIO DA FAZENDA;1;3984.9;3984.9
13;00.394.460/0409-50;00.394.460/0409-50 - MINISTERIO DA FAZENDA;1;37.14;37.14
14;00.604.122/0001-97;00.604.122/0001-97 - TRIVALE INSTITUICAO DE PAGAMENTO LTDA;44;1144290.75;26006.607954545456
15;00.703.157/0001-83;00.703.157/0001-83 - CONFEDERACAO NACIONAL DE MUNICIPIOS;2;12508.0;6254.0
16;00.874.929/0001-40;00.874.929/0001-40 - MED CENTER COMERCIAL LTDA;11;15440.470000000001;1403.679090909091
17;00.982.872/0006-07;00.982.872/0006-07 - AUTUS COMERCIAL DISTRIBUIDORA LTDA;8;4338.62;542.3275
18;01.405.834/0001-40;01.405.834/0001-40 - MTB TECNOLOGIA LTDA;1;11598.99;11598.99
19;01.409.655/0001-80;01.409.655/0001-80 - SECRETARIA DE ESTADO DA ECONOMIA;2;4047.6;2023.8
20;01.563.351/0001-73;01.563.351/0001-73 - TRIAMA NORTE TRATORES IMPLEMENTOS AGRICOLAS E MAQUINAS LTDA;4;10384.66;2596.165
21;01.639.917/0001-01;01.639.917/0001-01 - CASA LIMA LAGOENSE LTDA;38;188556.1;4962.002631578947
22;01.728.634/0001-28;01.728.634/0001-28 - STATUS PAPELARIA LTDA;1;61.5;61.5
23;02.306.412/0001-80;02.306.412/0001-80 - CONSELHO DESENV.COMUNITÁRIO DE CAB.DE MONJOLINHO;2;2500.0;1250.0
24;02.319.394/0001-70;02.319.394/0001-70 - CISALP CONSORCIO PUBLICO INTERMUNICIPAL DE SAUDE A MICRO REG;1853;26698038.16;14408.007641662169
25;02.477.340/0001-33;02.477.340/0001-33 - VALERIA MENDONÇA FLORENCIO RADIADORES ME;5;6100.0;1220.0
26;02.559.007/0001-73;02.559.007/0001-73 - MARIA DE FÁTIMA ALVES EIRELI EPP;79;27439.5;347.3354430379747
27;02.635.972/0001-88;02.635.972/0001-88 - CONSELHO DE DESENV COMUNITARIO DE ILHA;1;2500.0;2500.0
28;02.732.609/0001-80;02.732.609/0001-80 - VALDENE DO AMARAL BRAGA CPF 03993048601 EIRELI;4;11311.5;2827.875
