;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.207.500/0001-07;00.207.500/0001-07 - MULTIMEDIC COMERCIAL LTDA;10;551608.38;55160.838
1;02.537.890/0001-09;02.537.890/0001-09 - COFARMINAS COMERCIO DE PRODUTOS FARMACEUTICOS LTDA;45;244030.44;5422.898666666667
2;03.945.035/0001-91;03.945.035/0001-91 - ACACIA COMERCIO DE MEDICAMENTOS LTDA;4;5443.64;1360.91
3;05.194.502/0001-14;05.194.502/0001-14 - ALFALAGOS LTDA.;1;8286.4;8286.4
4;05.508.553/0001-73;05.508.553/0001-73 - IKI & NANA UNIFORMES LTDA;2;2688.0;1344.0
5;12.047.164/0001-53;12.047.164/0001-53 - GLOBAL HOSPITALAR IMPORTACAO E COMERCIO LTDA;1;3008.76;3008.76
6;12.889.035/0002-93;12.889.035/0002-93 - INOVAMED HOSPITALAR LTDA;1;31.35;31.35
7;12.927.876/0001-67;12.927.876/0001-67 - SOMA/MG PRODUTOS HOSPITALARES LTDA;2;14983.81;7491.905
8;21.681.325/0001-57;21.681.325/0001-57 - MULTIFARMA COMERCIO E REPRESENTACOES LTDA.;1;1316.8;1316.8
9;24.380.578/0020-41;24.380.578/0020-41 - WHITE MARTINS GASES INDUSTRIAIS DO NORDESTE LTDA;1;27961.5;27961.5
10;24.687.735/0001-01;24.687.735/0001-01 - ZENITE COMERCIAL LTDA;1;1721.59;1721.59
11;25.031.668/0001-27;25.031.668/0001-27 - SAMEH - SOLUCOES HOSPITALARES LTDA;2;19450.3;9725.15
12;26.401.571/0001-21;26.401.571/0001-21 - TRES PHARMA DISTRIBUIDORA E SERVICOS LTDA;1;4820.36;4820.36
13;30.904.666/0001-35;30.904.666/0001-35 - IRMÃOS LEAL LTDA;1;707399.94;707399.94
14;31.495.759/0001-16;31.495.759/0001-16 - SIRIO PHARMA EIRELI;3;1222.71;407.57
15;31.534.481/0001-49;31.534.481/0001-49 - DMX CONSTRUTORA LTDA;2;2290442.42;1145221.21
16;31.564.854/0001-24;31.564.854/0001-24 - BARROS BITTENCOURT EMPREENDIMENTOS LTDA;4;2643635.75;660908.9375
17;33.441.004/0001-64;33.441.004/0001-64 - ULTRA VEICULOS ESPECIAIS LTDA;1;304800.0;304800.0
18;36.519.422/0001-15;36.519.422/0001-15 - IVG BRASIL LTDA;2;421971.64999999997;210985.82499999998
19;37.115.386/0001-97;37.115.386/0001-97 - INOVATTO VEICULOS LTDA;3;655100.0;218366.66666666666
20;41.095.590/0001-60;41.095.590/0001-60 - T C DE CASTRO EMPREENDIMENTOS LTDA;3;832782.24;277594.08
21;41.804.972/0001-16;41.804.972/0001-16 - ESTRELA INFRAESTRUTURA LTDA;7;2306716.42;329530.91714285716
22;42.546.927/0001-71;42.546.927/0001-71 - CONSTRUTORA ENG+ LTDA;1;379000.0;379000.0
23;42.799.163/0001-26;42.799.163/0001-26 - BH FARMA COMERCIO LTDA;2;2993.42;1496.71
24;47.050.417/0001-22;47.050.417/0001-22 - PRESTADORA DE SERVICOS DO PORTO LTDA;1;705427.99;705427.99
25;51.490.594/0001-05;51.490.594/0001-05 - EFATA CONSTRUCOES LTDA;1;67863.66;67863.66
26;58.765.859/0001-71;58.765.859/0001-71 - RR JUNIOR ENGENHARIA LTDA;10;536725.3200000001;53672.53200000001
27;60.665.981/0009-75;60.665.981/0009-75 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL;1;1105.8;1105.8
28;67.729.178/0002-20;67.729.178/0002-20 - COMERCIAL CIRURGICA RIOCLARENSE LTDA;2;10146.11;5073.055
29;73.856.593/0010-57;73.856.593/0010-57 - PRATI,DONADUZZI & CIA LTDA;1;712.5;712.5
30;81.706.251/0001-98;81.706.251/0001-98 - PROMEFARMA REPRESENTAÇÕES COMERCIAIS LTDA;2;10096.35;5048.175
