;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;09.290.603/0001-40;09.290.603/0001-40 - INTERMAPAS GEOTECNOLOGIAS LTDA;3;199879.85;66626.61666666667
1;09.415.124/0001-02;09.415.124/0001-02 - SOLID CONTRUTORA E SERVICOS LTDA;1;22498.12;22498.12
2;17.434.732/0001-92;17.434.732/0001-92 - CONSTRUTORA ANA CLARA LTDA;4;786916.45;196729.1125
3;19.758.309/0001-73;19.758.309/0001-73 - ENPROL ENGENHARIA E PROJETOS LTDA;1;643680.0;643680.0
4;21.055.961/0001-73;21.055.961/0001-73 - CONCRETTA PLANEJAMENTO E EXECUCAO DE OBRAS CIVIS LTDA;7;505749.33999999997;72249.9057142857
5;22.615.610/0001-32;22.615.610/0001-32 - M2 ENGENHARIA E CONSTRUTORA EIRELI;1;12103.78;12103.78
6;26.368.565/0001-10;26.368.565/0001-10 - G S COSTA CONSTRUTORA LTDA;7;1486058.27;212294.03857142857
