;desDocumentoFornecedor;desAgrupamento;numberOfTransactions;committedValue;averageReceived
0;00.207.500/0001-07;00.207.500/0001-07 - MULTIMEDIC COMERCIAL LTDA;59;864470.66;14652.045084745763
1;01.405.834/0001-40;01.405.834/0001-40 - MTB TECNOLOGIA LTDA;1;11598.99;11598.99
2;03.658.257/0001-23;03.658.257/0001-23 - LUIZ DIAS DE CASTRO FILHO;2;8748.0;4374.0
3;03.660.686/0001-35;03.660.686/0001-35 - INDUPLASTIL - INDUSTRIA DE PLASTICOS ITUIUTABA LTDA;7;2951.5;421.64285714285717
4;03.896.408/0001-81;03.896.408/0001-81 - SUELY TEREZINHA DE QUEIROZ FERREIRA;7;1594.2;227.74285714285716
5;04.353.937/0001-00;04.353.937/0001-00 - CASA DAS PECAS SERVICOS LTDA;1;4900.0;4900.0
6;05.412.147/0001-02;05.412.147/0001-02 - DENTAL OESTE EIRELI;2;5605.95;2802.975
7;05.808.979/0001-42;05.808.979/0001-42 - V. C. DA ROCHA DISTRIBUIDORA;1;1020.0;1020.0
8;05.906.836/0001-73;05.906.836/0001-73 - VANDERLEI ALVES DE ARAUJO CPF 569.891.216-53;13;28184.4;2168.0307692307692
9;07.062.925/0001-06;07.062.925/0001-06 - ORGANIZACOES MSL COMERCIO E INDUSTRIA DE MATERIAIS ELETRICOS;1;40920.0;40920.0
10;07.077.077/0001-09;07.077.077/0001-09 - A. A. VERONA & CIA. LTDA.;2;37600.0;18800.0
11;08.422.075/0001-72;08.422.075/0001-72 - GONCALVES E TEIXEIRA LTDA;4;9823.39;2455.8475
12;09.117.354/0001-95;09.117.354/0001-95 - IGARATA COMERCIO DE PRODUTOS ELETRO-ELETRONICOS LTDA;15;59944.4;3996.2933333333335
13;09.222.369/0001-13;09.222.369/0001-13 - DENTAL MARIA LTDA;55;0.0;0.0
14;09.240.575/0001-56;09.240.575/0001-56 - MARCA MAIOR DISTRIBUIÇÃO LTDA;1;1988.7;1988.7
15;09.415.124/0001-02;09.415.124/0001-02 - SOLID CONTRUTORA E SERVICOS LTDA;78;2051965.95;26307.255769230767
16;09.663.426/0001-08;09.663.426/0001-08 - TRIBOS EDITORA E DISTRIBUIDORA DE LIVROS LTDA;2;53976.0;26988.0
17;10.279.430/0001-48;10.279.430/0001-48 - ROSILENE VIEIRA LOPES;2;12368.36;6184.18
18;10.820.186/0001-89;10.820.186/0001-89 - NBB COMERCIO DE EQUIPAMENTOS DE INFORMATICA LTDA;1;1099.95;1099.95
19;11.384.015/0001-17;11.384.015/0001-17 - ATLANTICA DIDATICA & PEDAGOGICA DISTIBUIDORA LTDA;2;32543.309999999998;16271.654999999999
20;12.113.877/0001-78;12.113.877/0001-78 - AUTONOMY EMPREENDIMENTOS LTDA;2;71204.0;35602.0
21;12.461.122/0001-64;12.461.122/0001-64 - ARCEPATOS DISTRIBUIDORA LTDA;3;992.62;330.87333333333333
22;13.704.844/0001-65;13.704.844/0001-65 - LIFETEC HOSPITALAR LTDA;2;48800.0;24400.0
23;14.525.031/0001-70;14.525.031/0001-70 - T.I TECNOLOGIA E SOLUCOES LTDA;1;2763.0;2763.0
24;15.249.381/0001-14;15.249.381/0001-14 - WEEMAC MAQUINAS E EQUIPAMENTOS EIRELI;2;35865.0;17932.5
25;15.427.410/0001-90;15.427.410/0001-90 - ANIMALLE MUNDO PET LTDA;1;5806.89;5806.89
26;17.121.657/0001-00;17.121.657/0001-00 - NILSON MOREIRA CARDOSO;1;2996.0;2996.0
27;17.232.708/0001-70;17.232.708/0001-70 - CLERIO VICENTE DE CASTRO;5;89792.5;17958.5
28;17.243.650/0001-60;17.243.650/0001-60 - EMBRAC - EMPRESA BRASILEIRA DE ASSISTENCIA CULTURAL LTD;1;7606.0;7606.0
29;17.737.428/0001-14;17.737.428/0001-14 - HOSPITRONICA - COMERCIO DE EQUIPAMENTOS MEDICO HOSPITALAR LT;1;4680.0;4680.0
30;18.962.982/0001-68;18.962.982/0001-68 - NOVA DENTAL COMERCIO E REPRESENTACAO DE PRODUTOS ODONTOLOGIC;2;28105.41;14052.705
31;19.061.289/0001-87;19.061.289/0001-87 - MARES SERVICOS E COMERCIO DE EQUIPAMENTOS LTDA;1;2787.28;2787.28
32;19.277.764/0001-57;19.277.764/0001-57 - LOMBARDI LUBRIFICANTES LTDA;4;6283.0;1570.75
